Story	BayID	SecID	StnLoc	Status	AsTopCombo	AsMinTop	AsTop	AsBotCombo	AsMinBot	AsBot	VCombo	VRebar	TLngCombo	TLngRebar	TTrnCombo	TTrnRebar	ErrMsg	WarnMsg
14F	B218	B60X80C28	     0.450	No Message	USS06	    0.001406	    0.003275	USS06	    0.001406	    0.001577	USS79S	    0.001301	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     0.550	No Message	USS06	    0.001406	    0.003160	USS06	    0.001033	    0.001033	USS79S	    0.001296	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     0.650	No Message	USS06	    0.001406	    0.003046	USS06	    0.001033	    0.001033	USS79S	    0.001291	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     0.750	No Message	USS06	    0.001406	    0.002935	USS06	    0.001033	    0.001033	USS79S	    0.001285	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     0.850	No Message	USS06	    0.001406	    0.002824	USS06	    0.001033	    0.001033	USS79S	    0.001279	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     0.950	No Message	USS06	    0.001406	    0.002715	USS06	    0.001033	    0.001033	USS79S	    0.001273	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.050	No Message	USS06	    0.001406	    0.002607	USS06	    0.001033	    0.001033	USS79S	    0.001266	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.150	No Message	USS06	    0.001406	    0.002501	USS06	    0.001033	    0.001033	USS79S	    0.001259	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.250	No Message	USS06	    0.001406	    0.002396	USS06	    0.001033	    0.001033	USS79S	    0.001252	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.350	No Message	USS06	    0.001406	    0.002293	USS06	    0.001033	    0.001033	USS79S	    0.001245	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.450	No Message	USS06	    0.001406	    0.002192	USS06	    0.001033	    0.001033	USS79S	    0.001237	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.550	No Message	USS06	    0.001406	    0.002092	USS06	    0.001033	    0.001033	USS79S	    0.001230	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.650	No Message	USS06	    0.001406	    0.001993	USS06	    0.001033	    0.001033	USS79S	    0.001222	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.750	No Message	USS06	    0.001406	    0.001896	USS06	    0.001033	    0.001033	USS79S	    0.001215	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.850	No Message	USS06	    0.001406	    0.001800	USS06	    0.001033	    0.001033	USS79S	    0.001207	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     1.950	No Message	USS06	    0.001406	    0.001706	USS06	    0.001033	    0.001033	USS79S	    0.001200	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.050	No Message	USS06	    0.001406	    0.001613	USS06	    0.001033	    0.001033	USS79S	    0.001192	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.150	No Message	USS06	    0.001406	    0.001522	USS06	    0.001033	    0.001033	USS79S	    0.001185	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.250	No Message	USS06	    0.001406	    0.001432	USS06	    0.001033	    0.001033	USS79S	    0.001177	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.350	No Message	USS77S	    0.001406	    0.001406	USS06	    0.001033	    0.001033	USS79S	    0.001170	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.450	No Message	USS77S	    0.001406	    0.001406	USS06	    0.001033	    0.001033	USS79S	    0.001162	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.550	No Message	USS69S	    0.001406	    0.001406	USS06	    0.001033	    0.001033	USS79S	    0.001155	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.650	No Message	USS14	    0.001406	    0.001406	USS06	    0.001033	    0.001033	USS79S	    0.001147	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.750	No Message	USS06	    0.001335	    0.001335	USS06	    0.001033	    0.001033	USS79S	    0.001140	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.850	No Message	USS06	    0.001226	    0.001226	USS06	    0.001033	    0.001033	USS79S	    0.001132	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     2.950	No Message	USS06	    0.001118	    0.001118	USS06	    0.001033	    0.001033	USS79S	    0.001125	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     3.050	No Message	USS06	    0.001033	    0.001033	USS06	    0.001033	    0.001033	USS79S	    0.001117	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     3.150	No Message	USS06	    0.001033	    0.001033	USS06	    0.001033	    0.001033	USS79S	    0.001110	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     3.250	No Message	USS06	    0.001033	    0.001033	USS04	    0.001038	    0.001038	USS79S	    0.001102	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
14F	B218	B60X80C28	     3.350	No Message	USS06	    0.001033	    0.001033	USS04	    0.001076	    0.001076	USS79S	    0.001095	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
