Story	BayID	SecID	StnLoc	Status	AsTopCombo	AsMinTop	AsTop	AsBotCombo	AsMinBot	AsBot	VCombo	VRebar	TLngCombo	TLngRebar	TTrnCombo	TTrnRebar	ErrMsg	WarnMsg
10F	B131	B60X80C28	     0.350	No Message	USS11	    0.001406	    0.005448	USS49	    0.001406	    0.005250	USS74S	    0.003969	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.441	No Message	USS43	    0.001406	    0.005164	USS17	    0.001406	    0.005042	USS74S	    0.003959	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.532	No Message	USS43	    0.001406	    0.004893	USS17	    0.001406	    0.004844	USS74S	    0.003948	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.623	No Message	USS43	    0.001406	    0.004627	USS17	    0.001406	    0.004647	USS74S	    0.003938	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.714	No Message	USS51	    0.001406	    0.004367	USS09	    0.001406	    0.004454	USS74S	    0.003928	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.805	No Message	USS51	    0.001406	    0.004111	USS09	    0.001406	    0.004262	USS74S	    0.003918	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.896	No Message	USS51	    0.001406	    0.003860	USS09	    0.001406	    0.004071	USS74S	    0.003909	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.987	No Message	USS51	    0.001406	    0.003612	USS09	    0.001406	    0.003881	USS74S	    0.003900	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     0.987	No Message	USS51	    0.001406	    0.003612	USS09	    0.001406	    0.003881	USS74S	    0.003617	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     1.087	No Message	USS51	    0.001406	    0.003360	USS09	    0.001406	    0.003647	USS74S	    0.003607	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
10F	B131	B60X80C28	     1.187	No Message	USS51	    0.001406	    0.003112	USS09	    0.001406	    0.003416	USS74S	    0.003597	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
