0.00 	2.175
0.10 	2.135
0.20 	2.117
0.30 	2.111
0.40 	2.111
0.50 	2.111
0.60 	2.111
0.70 	2.111
0.80 	2.078
0.90 	1.895
1.00 	1.742
1.10 	1.611
1.20 	1.499
1.30 	1.401
1.40 	1.301
1.50 	1.215
1.60 	1.139
1.70 	1.072
1.80 	1.012
1.90 	0.959
2.00 	0.911
2.10 	0.868
2.20 	0.828
2.30 	0.792
2.40 	0.759
2.50 	0.729
2.60 	0.701
2.70 	0.675
2.80 	0.651
2.90 	0.628
3.00 	0.607
3.10 	0.588
3.20 	0.569
3.30 	0.561
3.40 	0.561
3.50 	0.561
3.60 	0.561
3.70 	0.561
3.80 	0.561
3.90 	0.561
4.00 	0.561
4.10 	0.561
4.20 	0.561
4.30 	0.561
4.40 	0.561
4.50 	0.561
4.60 	0.561
4.70 	0.561
4.80 	0.561
4.90 	0.561
5.00 	0.561
